"filename", "language", "PHP", "SCSS", "JavaScript", "PostCSS", "JSON", "comment", "blank", "total"
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_list-group.scss", "SCSS", 0, 3, 0, 0, 0, 16, 2, 21
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_menu.scss", "SCSS", 0, 12, 0, 0, 0, 2, 5, 19
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_modals.scss", "SCSS", 0, 15, 0, 0, 0, 17, 3, 35
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_nav.scss", "SCSS", 0, 25, 0, 0, 0, 22, 11, 58
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_pagination.scss", "SCSS", 0, 5, 0, 0, 0, 0, 2, 7
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_shadow.scss", "SCSS", 0, 25, 0, 0, 0, 2, 9, 36
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_snackbar.scss", "SCSS", 0, 5, 0, 0, 0, 0, 2, 7
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_spacing.scss", "SCSS", 0, 1, 0, 0, 0, 24, 2, 27
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_state.scss", "SCSS", 0, 9, 0, 0, 0, 3, 5, 17
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_tables.scss", "SCSS", 0, 5, 0, 0, 0, 0, 2, 7
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_tooltip.scss", "SCSS", 0, 1, 0, 0, 0, 0, 1, 2
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_type.scss", "SCSS", 0, 41, 0, 0, 0, 47, 20, 108
"c:\laragon\www\MinaPorcoIntegrador\public\css\app.css", "PostCSS", 0, 0, 0, 2248, 0, 117, 230, 2595
"c:\laragon\www\MinaPorcoIntegrador\public\css\style.css", "PostCSS", 0, 0, 0, 647, 0, 43, 94, 784
"c:\laragon\www\MinaPorcoIntegrador\public\index.php", "PHP", 10, 0, 0, 0, 0, 4, 7, 21
"c:\laragon\www\MinaPorcoIntegrador\public\js\app.js", "JavaScript", 0, 0, 8643, 0, 0, 1085, 1126, 10854
"c:\laragon\www\MinaPorcoIntegrador\public\js\dashboard.js", "JavaScript", 0, 0, 51, 0, 0, 2, 1, 54
"c:\laragon\www\MinaPorcoIntegrador\public\mix-manifest.json", "JSON", 0, 0, 0, 0, 4, 0, 1, 5
"Total", "-", 10, 12242, 10284, 57802, 4, 3543, 16078, 99963
